"docket","court","nos","jur_fq","jur_div","jur_supp","remove","counterclaim","cfaa","patent","copyright","lanham","antitrust","rico","otherfed","statets","contract","fiduciary","goodfaith","unfaircomp","conversion","interfere","unjenrich","fraud","statecomp","conspiracy","otherstate","technical","customer","businfo","software","formula","negativets","employee","buspartner","otherdef","foreigndef","country","acquire","disclose","use","hacking","nda","noncompete","tro","pi","exparte"
"1:16-CV-00929","DED",890,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,"",1,0,1,0,0,1,1,1,1
"1:16-CV-00968","TXWD",890,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,"",1,1,1,0,0,0,1,2,1
"1:16-CV-01063","OHSD",470,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,"",0,1,1,0,1,1,4,4,1
"1:16-CV-01085","ARWD",890,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,"",0,1,1,0,1,0,2,3,1
"1:16-CV-01109","TXWD",370,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,"",1,1,1,1,1,1,1,5,1
"1:16-CV-01125","DED",890,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,"",1,1,1,0,0,0,2,1,1
"1:16-CV-01137","OHSD",830,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"",0,1,1,0,1,1,1,1,1
"1:16-CV-01295","VAED",890,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,0,0,0,1,0,1,1,1
"1:16-CV-01542","VAED",890,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",1,1,0,0,1,0,3,5,1
"1:16-CV-01728","OHND",790,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,0,0,1,1,1
